"ex_id","rd_id","status","stage","name","hypothesis_summary","config_paths","result_paths","file","decision_ids","created_at_utc","updated_at_utc","novice_summary","next_action"
"EX-20260605T115651Z-main-BASE","RD-20260605T115651Z-main-DP00","completed","asset_inventory_completed","双池轮动基线资产盘点预注册","先把旧库和平台中与双池轮动相关的策略代码、配置、结果和研究记录盘清楚，避免在不完整事实上继续调参","不适用","01_台账/旧库迁移台账.csv;11_迁移暂存/双池轮动旧库复核队列.csv","04_实验记录/EX-20260605T115651Z-main-BASE_双池轮动基线资产盘点预注册.md","DEC-20260605T115651Z-main-DP00","2026-06-05T11:56:51Z","2026-06-05T12:00:00Z","旧库资料已迁入新库，但结论仍需复核后才能采纳","按双池轮动旧库复核队列逐条复核实验和决策"
"EX-20260606T134047Z-main-HPHZ","RD-20260605T115651Z-main-DP00","active","route_preregistered_first_wave_executed_qk38_5kzw_failed","五方向接手证据映射与首轮路线预注册","把用户提出的多周期动量、动量崩盘、波动率仓位、TopN抗抖和资产属性分层拆成可审计研究队列，避免混合调参无法归因","configs/research/R010-A23/state_tier_hot_budget/;configs/v2_migrate_etf_dual_pool_momentum_topn_hold.json;configs/research/R20260521-001/;configs/research/R010-MULTI/EX-20260606T185537Z-main-5KZW/formal/;configs/research/R010-A24/commodity_tail_drawdown_allow/EX-20260606T201735Z-main-QK38/formal/","results/v2/research/R010-A18/asset_class_label_audit/;results/v2/research/R010-A16/hot_state_panel/;results/v2/research/R010-A23/state_tier_hot_budget/attribution/full_robustness/;results/v2/research/RD-20260605T115651Z-main-CORE/EX-20260606T012550Z-main-LM3D/;results/v2/research/R010-TOPN/EX-20260606T140752Z-main-TC8U/summary/;results/v2/research/R010-TOPN/EX-20260606T140752Z-main-TC8U/summary_cost2x_slip2bps/;results/v2/research/R010-TOPN/EX-20260606T140752Z-main-TC8U/summary_cost2x_commission/;results/v2/research/R010-A18/asset_class_label_audit/readonly_extension/EX-20260606T140753Z-main-WXMD/;results/v2/research/R010-A18/asset_state_interactions/EX-20260606T200545Z-main-GCHV/;results/v2/research/R010-A24/commodity_tail_drawdown_allow/EX-20260606T201735Z-main-QK38/summary/formal/;results/v2/research/R010-A16/momentum_crash_state_readonly/EX-20260606T183604Z-main-7YDQ/;results/v2/research/R010-A16/market_crash_rebound_readonly/EX-20260606T194733Z-main-MFNT/;results/v2/research/R010-MULTI/EX-20260606T185537Z-main-5KZW/summary/formal/;results/v2/research/R010-VOL/EX-20260606T191019Z-main-G4NN/;results/v2/research/R010-VOL/EX-20260606T191831Z-main-GWH9/;results/v2/research/R010-VOL/EX-20260606T193056Z-main-XA5G/","04_实验记录/EX-20260606T134047Z-main-HPHZ_五方向接手证据映射与首轮路线预注册.md","","2026-06-06T13:40:47Z","2026-06-07T16:17:30+08:00","首轮已推进多项：TopN降交易且成本扰动子集完成但不promote；资产标签不能直接交易化；商品尾部回撤只读种子已被QK38 8/8 formal证伪；目标ETF和近端宽基crash rebound标签均不能seed formal；宽基波动率缩放被反证；B5暂不formal；多周期确认5KZW 16/16 formal完成但三个候选均未通过门槛","5KZW关闭直接替代路线；TC8U转随机延迟/冷却期负控与2024事件归因；QK38关闭不扩代码或阈值；动量崩盘暂停除非另开全历史/组合层面板；波动率仓位暂停除非另开静态cap或滞后负控；A23转事件归因和成本换手约束版本"
"EX-20260606T140752Z-main-TC8U","RD-20260605T115651Z-main-EXE0","completed","formal_delay_negative_control_strict_20of20_no_promote","TopN抗抖换仓formal AB预注册","当前持仓仍在Top3/Top5且分数未明显落后时继续持有，检验是否减少无意义换仓而不明显错过趋势","configs/research/R010-TOPN/EX-20260606T140752Z-main-TC8U/formal/;configs/research/R010-TOPN/EX-20260606T140752Z-main-TC8U/formal_cost2x_slip2bps/;configs/research/R010-TOPN/EX-20260606T140752Z-main-TC8U/formal_cost2x_commission/;configs/research/R010-TOPN/EX-20260606T140752Z-main-TC8U/formal_delay_negative_control/","results/v2/research/R010-TOPN/EX-20260606T140752Z-main-TC8U/formal/;results/v2/research/R010-TOPN/EX-20260606T140752Z-main-TC8U/summary/;results/v2/research/R010-TOPN/EX-20260606T140752Z-main-TC8U/summary_cost2x_slip2bps/;results/v2/research/R010-TOPN/EX-20260606T140752Z-main-TC8U/summary_cost2x_commission/;results/v2/research/R010-TOPN/EX-20260606T140752Z-main-TC8U/formal_delay_negative_control/;results/v2/research/R010-TOPN/EX-20260606T140752Z-main-TC8U/summary_delay_negative_control/","04_实验记录/EX-20260606T140752Z-main-TC8U_TopN抗抖换仓formal AB预注册.md","DEC-20260607T095915Z-main-BP3L","2026-06-06T14:07:52Z","2026-06-07T20:49:18+08:00","base-cost formal 20/20完成；两类成本子集各12/12完成。formal_delay_negative_control 20/20 strict完成，random50合计final多88976.39；top3_gap_confirm1_veto只有1/4 final不低且合计final少69701.83。","不promote、不改hard5/A23；不扩大TopN网格、seed、概率或冷却期；若继续方向4，必须新开换仓确认机制预注册，A23组合交互另开实验"
"EX-20260606T140753Z-main-WXMD","RD-20260605T133318Z-main-H6V3","active","readonly_diagnostic_completed_direct_asset_label_rejected","资产属性分层扩展诊断与负控","把A18资产标签与A16状态面板合并，并用随机标签和合并标签负控检验资产属性是否可直接交易化","scripts/research/analyze_wxmd_asset_class_readonly_extension.py","results/v2/research/R010-A18/asset_class_label_audit/readonly_extension/EX-20260606T140753Z-main-WXMD/","04_实验记录/EX-20260606T140753Z-main-WXMD_资产属性分层扩展诊断与负控.md","","2026-06-06T14:07:53Z","2026-06-06T18:35:00Z","真实资产标签H10离散度未强于随机标签，p_upper约0.93；资产类不能单独交易化，只能作为状态诊断维度","停止资产类单独放行/降仓formal；后续只做资产属性×状态变量的少量预注册组合"
"EX-20260607T024332Z-main-UC3P","RD-20260603T000000Z-mig-HD5EEBAA8D5EEB","completed","completed_revise_not_live_ready","变种小狮子涨停基因小市值完整验证","验证历史涨停基因和启动点排序是否在小市值中有独立增量，并审计停牌误判、退市风险、负控、成本扰动和市场环境","configs/research/RD-20260603T000000Z-mig-HD5EEBAA8D5EEB/EX-20260607T024332Z-main-UC3P/validation.json;scripts/research/validate_lion_limit_gene_smallcap.py","results/v2/research/RD-20260603T000000Z-mig-HD5EEBAA8D5EEB/EX-20260607T024332Z-main-UC3P/","04_实验记录/EX-20260607T024332Z-main-UC3P_变种小狮子涨停基因小市值完整验证.md","DEC-20260607T032202Z-main-NQHF","2026-06-07T02:43:32Z","2026-06-07T03:22:00Z","涨停基因比纯小市值强，但原启动点排序弱于简单涨停次数，回撤和负控不支持实盘","新建涨停次数主线、低换手延迟确认、环境门控、退市容量过滤和分钟级执行复刻实验"
"EX-20260521T000000Z-mig-R2026052100171186","RD-20260605T115651Z-main-DP00","migrated_unverified","legacy_raw","R20260521-001 ETF双池波动率缩放仓位","旧库机械迁移，待复核","configs/research/R20260521-001/","results/v2/research/R20260521-001/","04_实验记录\EX-20260521T000000Z-mig-R2026052100171186_R20260521-001ETF双池波动率缩放仓位.md","","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","旧库迁移记录，不能直接作为新库有效结论","按新库研究质量审计规范复核"
"EX-20260521T000000Z-mig-R20260521002E8F95","RD-20260605T115651Z-main-DP00","migrated_unverified","legacy_raw","R20260521-002 ETF双池条件触发波动率风控","旧库机械迁移，待复核","configs/research/R20260521-002/","results/v2/research/R20260521-002/","04_实验记录\EX-20260521T000000Z-mig-R20260521002E8F95_R20260521-002ETF双池条件触发波动率风控.md","","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","旧库迁移记录，不能直接作为新库有效结论","按新库研究质量审计规范复核"
"EX-20260521T000000Z-mig-R2026052100335636","RD-20260605T115651Z-main-DP00","migrated_unverified","legacy_raw","R20260521-003 ETF双池目标ETF自身急跌风控","旧库机械迁移，待复核","configs/research/R20260521-003/","results/v2/research/R20260521-003/","04_实验记录\EX-20260521T000000Z-mig-R2026052100335636_R20260521-003ETF双池目标ETF自身急跌风控.md","","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","旧库迁移记录，不能直接作为新库有效结论","按新库研究质量审计规范复核"
"EX-20260521T000000Z-mig-R202605210046E43A","RD-20260605T115651Z-main-DP00","migrated_unverified","legacy_raw","R20260521-004 ETF双池自身急跌排序惩罚","旧库机械迁移，待复核","configs/research/R20260521-004/","results/v2/research/R20260521-004/","04_实验记录\EX-20260521T000000Z-mig-R202605210046E43A_R20260521-004ETF双池自身急跌排序惩罚.md","","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","旧库迁移记录，不能直接作为新库有效结论","按新库研究质量审计规范复核"
"EX-20260521T000000Z-mig-R20260521005BE7AC","RD-20260605T115651Z-main-DP00","migrated_unverified","legacy_raw","R20260521-005 ETF双池Top5绝对动量准入防守","旧库机械迁移，待复核","configs/research/R20260521-005/","results/v2/research/R20260521-005/","04_实验记录\EX-20260521T000000Z-mig-R20260521005BE7AC_R20260521-005ETF双池Top5绝对动量准入防守.md","","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","旧库迁移记录，不能直接作为新库有效结论","按新库研究质量审计规范复核"
